damselID,type,bite,display,vicinity,foraging,date,depth,num_neighbours,size_bin,order
F01,control,0,1,7.258,24,23/06/2023,7.3,1,,312
F01,neighbour,0,0,11.5,13,23/06/2023,7.3,1,1,312
F01,stranger,1,2,2.245,5,23/06/2023,7.3,1,1,312
F02,control,0,0,1.498,7,23/06/2023,7.4,3,,321
F02,neighbour,9,9,111.879,12,23/06/2023,7.4,3,1,321
F02,stranger,9,2,71.103,4,23/06/2023,7.4,3,1,321
F03,neighbour,1,1,25.752,1,28/06/2023,4.9,3,-1,231
F03,stranger,0,0,12.439,2,28/06/2023,4.9,3,1,231
F04,control,0,0,0.998,8,28/06/2023,7,1,,132
F04,neighbour,0,0,121.199,25,28/06/2023,7,1,1,132
F04,stranger,0,0,5.502,10,28/06/2023,7,1,1,132
F05,control,0,0,18.495,3,29/06/2023,8.8,2,,213
F05,neighbour,45,0,172.469,0,29/06/2023,8.8,2,-1,213
F05,stranger,20,0,117.06,0,29/06/2023,8.8,2,1,213
F06,control,0,0,1.004,0,29/06/2023,6.9,2,,321
F06,neighbour,44,0,123.484,0,29/06/2023,6.9,2,-1,321
F06,stranger,26,1,148.481,0,29/06/2023,6.9,2,-1,321
F07,control,0,0,0,0,30/06/2023,6.6,3,,312
F07,neighbour,5,0,66.474,0,30/06/2023,6.6,3,-1,312
F07,stranger,0,0,36.497,0,30/06/2023,6.6,3,1,312
F08,control,0,0,37.743,5,30/06/2023,7.6,2,,312
F08,neighbour,42,0,178.989,0,30/06/2023,7.6,2,1,312
F08,stranger,74,0,179.02,0,30/06/2023,7.6,2,-1,312
F09,control,0,0,46.742,8,01/06/2023,7.5,3,,132
F09,neighbour,6,1,137.246,0,01/06/2023,7.5,3,-1,132
F09,stranger,8,0,117.637,2,01/06/2023,7.5,3,-1,132
F10,control,0,0,39.975,1,01/06/2023,8.6,1,,123
F10,neighbour,26,1,167.11,0,01/06/2023,8.6,1,-1,123
F10,stranger,15,1,160.27,0,01/06/2023,8.6,1,-1,123
F11,neighbour,28,2,142.146,1,02/07/2023,10.3,1,-1,21
F11,stranger,5,6,117.29,0,02/07/2023,10.3,1,1,21
F12,neighbour,9,5,95.461,2,02/07/2023,10.3,2,-1,21
F12,stranger,9,8,112.011,0,02/07/2023,10.3,2,-1,21
F14,neighbour,41,1,138.244,0,03/07/2023,10.8,2,-1,12
F14,stranger,19,1,148.785,0,03/07/2023,10.8,2,-1,12
F15,neighbour,0,0,12.494,0,08/07/2023,9.4,3,-1,12
F15,stranger,0,0,1.001,0,08/07/2023,9.4,3,-1,12
F16,neighbour,0,0,1.493,0,08/07/2023,8.5,3,1,21
F16,stranger,0,2,14.036,0,08/07/2023,8.5,3,1,21
F17,neighbour,1,1,52.694,4,14/07/2023,11.1,2,1,12
F17,stranger,0,0,32.519,24,14/07/2023,11.1,2,-1,12
F18,neighbour,3,3,88.289,7,14/07/2023,6.1,6,-1,12
F18,stranger,25,5,147.77,0,14/07/2023,6.1,6,1,12
